trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.98}",20,14,-0.49219124842606954,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.6, 'e': 0.9603999999999999}",30,13,-63.08817667595561,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 0}",1
3,False,"{'a': 0.6, 'e': 0.9411919999999999}",25,0,-133.8879936498075,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.9223681599999999}",20,0,-80.1117517538909,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.9039207967999999}",20,0,-87.41521070627105,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.6, 'e': 0.8858423808639999}",20,0,-49.052109781518325,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.8681255332467199}",35,0,-146.3373965080453,"{0: 20, 1: 4, 2: 9, 3: 1, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.8507630225817855}",30,0,-157.36102475034332,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.6, 'e': 0.8337477621301498}",30,0,-133.6148411183266,"{0: 22, 1: 0, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.6, 'e': 0.8170728068875467}",25,0,-93.06309948807332,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.8007313507497958}",25,6,-34.74905640818807,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 0}",1
12,False,"{'a': 0.6, 'e': 0.7847167237347998}",30,0,-125.79480868999211,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.6, 'e': 0.7690223892601038}",20,0,-168.13356943576332,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.6, 'e': 0.7536419414749017}",25,0,-87.83603943893615,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.6, 'e': 0.7385691026454038}",20,0,-120.02012149137809,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.6, 'e': 0.7237977205924956}",25,0,-111.38862745115217,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.7093217661806457}",20,0,16.8237460363846,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.6951353308570327}",20,14,-4.249628815889941,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.6, 'e': 0.6812326242398921}",25,14,-8.475998899288872,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.6, 'e': 0.6676079717550942}",20,0,-21.610256956300127,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
