trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-198.82605004891525,"{0: 18, 1: 5, 2: 3, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.20976281379663,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.40267190002051,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.18391347650503,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.10812190184774,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.34498245892452,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.0568698410634,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.83115775049065,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.80785150307378,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.47287054597007,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.84466638626746,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.03705399903788,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.779762715608,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.6877478962094,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.53121252212424,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.50230871223462,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.82795278904264,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-53.047478819058455,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.90404974928532,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.23905956369887,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-92.22402934665344,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-90.82038148973382,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-11.850731586122249,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-64.00832859081075,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-179.26586544221888,"{0: 18, 1: 0, 2: 8, 3: 2, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,12,-36.96193792253136,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,0,-70.80133481655696,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-166.09062911564982,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,-78.76258380913312,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-246.67268864491632,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
